alpha2,2015,2016,2017,2018,2019,2020,2021
DM,1.5174582508470315e-05,1.4449787036515871e-05,1.3368895499004929e-05,1.2939932304275948e-05,1.2750187470906933e-05,1.2750187470906933e-05,1.2750187470906933e-05
DK,0.0017955830089576297,0.0016791572604974397,0.0015042737447543712,0.00146802456968391,0.0014549840709716293,0.0014549840709716293,0.0014549840709716293
DO,0.0018281720332334799,0.002007715520559061,0.0019090013340519229,0.0020634564530354997,0.002049351237993712,0.002049351237993712,0.002049351237993712
DZ,0.004977226970262548,0.005264821124925749,0.00530440743299027,0.006528876578786007,0.00654205013417406,0.00654205013417406,0.00654205013417406
EC,0.0026021465555143316,0.002695314328024081,0.002583372761803527,0.0025390878413408063,0.0025377382532237517,0.0025377382532237517,0.0025377382532237517
EG,0.011466045073391213,0.011777483620601971,0.011649654115927053,0.01198484021945203,0.014666237252926144,0.014666237252926144,0.014666237252926144
ER,1.1423266057715319e-05,1.1437283579127202e-05,1.1304839447001632e-05,1.0916592433565941e-05,1.0729104285078769e-05,1.0729104285078769e-05,1.0729104285078769e-05
ES,0.011986208868906181,0.01132115142142685,0.010592953235072792,0.01045682161117977,0.010892189018150436,0.010892189018150436,0.010892189018150436
EE,0.0003814056944978689,0.0003470270238151256,0.00031189839568051284,0.0003065403866038331,0.0003029200727457904,0.0003029200727457904,0.0003029200727457904
ET,0.004581979922022628,0.00481305426579306,0.005323406232935043,0.005277046004783755,0.005321942178978903,0.005321942178978903,0.005321942178978903
FI,0.0015530853060515286,0.0014570321192332368,0.0012947233899241772,0.0012722573995704626,0.0012615929392079174,0.0012615929392079174,0.0012615929392079174
FJ,0.00012107357383836555,0.000122657341197561,0.00011781956566477953,0.00011455432203075055,0.0001134114031648273,0.0001134114031648273,0.0001134114031648273
FR,0.0170260603438661,0.015990077723275212,0.014464942354864351,0.014257165429028143,0.014253658257945591,0.014253658257945591,0.014253658257945591
FO,1.4845008153326707e-05,1.3851091565899048e-05,1.2673834168441855e-05,1.2280606365390368e-05,1.2114738196742316e-05,1.2114738196742316e-05,1.2114738196742316e-05
FM,1.1250213542983911e-05,1.1112844901502714e-05,1.0574328819320116e-05,1.031936581531817e-05,1.0247932101871898e-05,1.0247932101871898e-05,1.0247932101871898e-05
GA,0.0002924586868468313,0.00029168257226391576,0.0003440226547377096,0.0003409684743209927,0.0003435412241452223,0.0003435412241452223,0.0003435412241452223
GB,0.01964741986064145,0.01879914522622393,0.016796799416875556,0.016366240052799717,0.015769987244187073,0.015769987244187073,0.015769987244187073
GE,0.0005811883327867966,0.00065876710834134,0.0005981405332310795,0.0006185985588267349,0.0006532542663102895,0.0006532542663102895,0.0006532542663102895
GH,0.002283389071222732,0.0029849252038189806,0.0030520415361401177,0.003012565318013277,0.0030255532335919863,0.0030255532335919863,0.0030255532335919863
GI,7.193622140341987e-06,9.632592641966323e-06,8.560118665262996e-06,8.263683967605457e-06,8.117663628257878e-06,8.117663628257878e-06,8.117663628257878e-06
GN,0.0003074443516269044,0.00034777355820825783,0.000583718879823029,0.0005798699359490444,0.0005862965889149814,0.0005862965889149814,0.0005862965889149814
GM,0.00011287459561400146,0.00012019773816791374,0.00011801423461266233,0.00011736930798029497,0.00011877371717295488,0.00011877371717295488,0.00011877371717295488
GW,2.0172874449734173e-05,2.0268654754975603e-05,1.9309556822571173e-05,1.9117245526964404e-05,1.9256184038839198e-05,1.9256184038839198e-05,1.9256184038839198e-05
GQ,8.170869930664162e-05,8.735990793095663e-05,8.898894415955911e-05,8.913126551267669e-05,9.074665558503747e-05,9.074665558503747e-05,9.074665558503747e-05
GR,0.0023718857233961618,0.0022507044399641537,0.0020389346251512494,0.002031839385353861,0.0020681782556178016,0.0020681782556178016,0.0020681782556178016
GD,1.934179121585633e-05,1.861893904690815e-05,1.760036642205615e-05,1.7084817767606196e-05,1.6874103819220383e-05,1.6874103819220383e-05,1.6874103819220383e-05
GL,1.2440779734426143e-05,1.1635484019822233e-05,1.0488366325674644e-05,1.0101294179794904e-05,9.963604776987608e-06,9.963604776987608e-06,9.963604776987608e-06
GT,0.001470703651694601,0.001651253485237894,0.0028100382214694317,0.002757308202132431,0.002752569880607047,0.002752569880607047,0.002752569880607047
GU,3.882422694672251e-05,3.79371074874246e-05,3.554065387460706e-05,3.4630716029761306e-05,3.4349269775012584e-05,3.4349269775012584e-05,3.4349269775012584e-05
GY,8.557480706257076e-05,8.31575896709972e-05,7.775837529266935e-05,7.545430690180265e-05,7.45165381001902e-05,7.45165381001902e-05,7.45165381001902e-05
HK,0.0020313617865058767,0.0019402634327384952,0.0017761171537338315,0.0017288787543795563,0.0017566125410868234,0.0017566125410868234,0.0017566125410868234
HN,0.0008099417113230312,0.0008267973110373795,0.0008032264864831817,0.0007886800540722714,0.0007879569217306252,0.0007879569217306252,0.0007879569217306252
HR,0.000962329090377043,0.0009174176661254771,0.0007436781486501518,0.0007710755436918873,0.0008203604523233987,0.0008203604523233987,0.0008203604523233987
HT,0.0004278660744727529,0.00040087310199911054,0.00036377606762984656,0.0009373342098007316,0.0009328226485512398,0.0009328226485512398,0.0009328226485512398
HU,0.0023512248527495392,0.0023515700131147145,0.0020187669667933675,0.0019298145697723482,0.0020026591681506526,0.0020026591681506526,0.0020026591681506526
ID,0.01862267639668909,0.020121725473794552,0.022965610493383803,0.027635728697638626,0.03291646611724866,0.03291646611724866,0.03291646611724866
IM,,,,,,,
IN,0.07304623674103272,0.08809227974927147,0.12392863296550156,0.12092034979036777,0.12005612299168761,0.12005612299168761,0.12005612299168761
IE,0.001287553219852723,0.0012221283386430572,0.0010866507533118905,0.0010675692870575392,0.0010652137810735526,0.0010652137810735526,0.0010652137810735526
IR,0.011670442204575377,0.012802863489763464,0.013884309946051351,0.014859922078022024,0.014803538764365328,0.014803538764365328,0.014803538764365328
IQ,0.006766538716423382,0.002349726321750075,0.004981151831886712,0.0049229048150762214,0.004948657413330948,0.004948657413330948,0.004948657413330948
IS,0.00010654272209146512,9.962354008509635e-05,9.067541978584254e-05,9.062541028767868e-05,9.123860291751821e-05,9.123860291751821e-05,9.123860291751821e-05
IL,0.0021259273402137392,0.0020579064711459217,0.0019102283249155094,0.0018805080414234878,0.0020039075602264447,0.0020039075602264447,0.0020039075602264447
IT,0.011580365755438037,0.011239896371670667,0.010261348247740689,0.011663443908383619,0.011439534723679775,0.011439534723679775,0.011439534723679775
JM,0.00040032151009324865,0.0003898076190847664,0.000432268771589552,0.00041942422268775994,0.0004141062719710212,0.0004141062719710212,0.0004141062719710212
JO,0.001826942459566518,0.0017990097780724021,0.0017552058089192648,0.00172557557074858,0.0017207556131754436,0.0017207556131754436,0.0017207556131754436
JP,0.0379691467368615,0.035775054326413105,0.028819895337957355,0.027773774864557163,0.027239780756391736,0.027239780756391736,0.027239780756391736
KZ,0.004075142470986361,0.004012381373609538,0.0037045940200806588,0.003742197347889647,0.0038661198535596473,0.0038661198535596473,0.0038661198535596473
KE,0.002604699124900909,0.0024616261070049676,0.002405928248455388,0.0023774969953857038,0.0030256567146689684,0.0030256567146689684,0.0030256567146689684
KG,0.0005909214070269042,0.0006800324680644961,0.0006329387813544241,0.0006234882352006211,0.0006257764987094858,0.0006257764987094858,0.0006257764987094858
KH,0.00032748045419319293,0.0015442391492111116,0.0013959220584623085,0.0016867207195657124,0.0016819038186952813,0.0016819038186952813,0.0016819038186952813
KI,4.72863667719838e-06,4.660427871601746e-06,4.473320477612422e-06,4.383602346891471e-06,4.3737324044005724e-06,4.3737324044005724e-06,4.3737324044005724e-06
KN,1.271238027515497e-05,1.1989886577935606e-05,1.1286124914737754e-05,1.0982716281203776e-05,1.0875607044234052e-05,1.0875607044234052e-05,1.0875607044234052e-05
KR,0.01504126070837245,0.014375738766222671,0.013121831336700888,0.012842561535755562,0.012681253064697204,0.012681253064697204,0.012681253064697204
KW,0.0009057156972599819,0.0009374493902517336,0.0010899863789457117,0.0010693326640449662,0.0010680758329398266,0.0010680758329398266,0.0010680758329398266
LA,0.00040237722222885157,0.0004526223237972987,0.0004766550604393201,0.0004674658440497798,0.000466460639689865,0.000466460639689865,0.000466460639689865
LB,0.0015854409786925994,0.001544176193720597,0.00143113030007102,0.0013894974124868404,0.0013669868304015433,0.0013669868304015433,0.0013669868304015433
LR,0.00048402208464883137,0.00010149087659138655,0.00010089342027645743,9.984738902484547e-05,0.0001005435592236145,0.0001005435592236145,0.0001005435592236145
LY,0.00040028525040178775,0.0003978784578400468,0.00038478943300961055,0.0003770990560379346,0.0003761100849643452,0.0003761100849643452,0.0003761100849643452
LC,2.4985630219953754e-05,2.543184602193352e-05,2.4710227914167854e-05,2.3984755537248327e-05,2.368959652849892e-05,2.368959652849892e-05,2.368959652849892e-05
LI,1.1876079999873734e-05,1.1167586222633037e-05,9.964908871008596e-06,9.650682182578543e-06,9.512206919831846e-06,9.512206919831846e-06,9.512206919831846e-06
LK,0.0008321678019388235,0.0010512384157396156,0.001965812337218639,0.0019183059183662335,0.0018969312027402496,0.0018969312027402496,0.0018969312027402496
LS,0.0001688215533914918,0.00017163049896371232,0.00016298593103902212,0.00015864669178565426,0.00015718941331598768,0.00015718941331598768,0.00015718941331598768
LT,0.0006800238801117694,0.000644926924772968,0.0005899309125218954,0.0005795807712609847,0.0005798532108449974,0.0005798532108449974,0.0005798532108449974
LU,0.0001800474852001207,0.00017267320227551899,0.00015602618844422412,0.00015312608831772104,0.00015345340509348676,0.00015345340509348676,0.00015345340509348676
LV,0.0005136626652489011,0.0004729829450642014,0.0004181442849045534,0.0004179688988132215,0.0004202046331829998,0.0004202046331829998,0.0004202046331829998
MO,0.0001532311975925041,0.000151259717714591,0.00013915515115516666,0.00013734584863775028,0.00014123695409944898,0.00014123695409944898,0.00014123695409944898
MA,0.0064891045876056454,0.00618794407678013,0.0059055047044211705,0.006058850501980698,0.00691835734346678,0.00691835734346678,0.00691835734346678
MC,1.1549201466717237e-05,1.0957646682773026e-05,1.0012954104402115e-05,9.742111745847089e-06,9.644597126720268e-06,9.644597126720268e-06,9.644597126720268e-06
MD,0.0006414417975086254,0.0006014685029377706,0.0005636162249102549,0.0005345586128071639,0.0005159786199054241,0.0005159786199054241,0.0005159786199054241
MG,0.0003317440262722797,0.00035474773360149475,0.0006734083535988829,0.0006678749890529463,0.0006740738115707962,0.0006740738115707962,0.0006740738115707962
MV,8.125516009821968e-05,8.49484687905637e-05,8.428782514120286e-05,8.455665334997897e-05,8.556309236254134e-05,8.556309236254134e-05,8.556309236254134e-05
MX,0.02295241835410882,0.022199972129666855,0.021410364299965495,0.021538124549697165,0.022798720138951522,0.022798720138951522,0.022798720138951522
MH,3.6324116965526384e-06,5.199213613196927e-06,6.038082276894013e-06,5.8663661307835335e-06,5.802923838636186e-06,5.802923838636186e-06,5.802923838636186e-06
MK,0.0004799550943974836,0.0004538958231667485,0.00041691412726925704,0.00042792170113519325,0.0004206734729708271,0.0004206734729708271,0.0004206734729708271
ML,0.0005908040692580176,0.0006035283887914412,0.0006467232306750703,0.0006435827003170605,0.0006517708902966019,0.0006517708902966019,0.0006517708902966019
MT,0.00011087248876753081,0.00010747901416016269,0.00010188406570783437,0.00010237324285975137,0.00010996610046503902,0.00010996610046503902,0.00010996610046503902
MM,0.003753657438187296,0.004020849916013879,0.004400904721913119,0.0042757004402921754,0.0042286365823467975,0.0042286365823467975,0.0042286365823467975
ME,0.00013899545015233264,0.00013146943492761852,0.00011920213715418569,0.00011547691797888925,0.00011658623179091545,0.00011658623179091545,0.00011658623179091545
MN,0.00022126098604951974,0.00020573241805915948,0.00019843150176262068,0.00019508922749783157,0.00042015998414068363,0.00042015998414068363,0.00042015998414068363
MP,,,,,,,
MZ,0.0015018020058189356,0.001474131443624304,0.0007698783338454103,0.0007654164416216576,0.0007744612531093298,0.0007744612531093298,0.0007744612531093298
MR,0.00020169873111865942,0.0002265659713037745,0.0002393875799020919,0.00023768380155597246,0.00024009393204801075,0.00024009393204801075,0.00024009393204801075
MU,0.00020762176498007184,0.00019935362714540883,0.00018828035816667674,0.00019239740593675377,0.0002065976807515479,0.0002065976807515479,0.0002065976807515479
MW,0.00029106902244702506,0.0005966030256031265,0.0006544462926847752,0.0006488889976173402,0.00065480771005708,0.00065480771005708,0.00065480771005708
MY,0.0070551067678119765,0.007308784302332545,0.006698771570722406,0.0066436206056233555,0.0068621403062362335,0.0068621403062362335,0.0068621403062362335
NA,0.00019502428512243952,0.00022122763341460628,0.0003292795164632799,0.00032401271111077507,0.00032446697460168867,0.00032446697460168867,0.00032446697460168867
NC,6.611142132554051e-05,6.186941477033705e-05,6.178138704262652e-05,6.044910486969538e-05,6.019313337631911e-05,6.019313337631911e-05,6.019313337631911e-05
NE,0.00016243605748846732,0.00027167607910360376,0.0005935394079076948,0.00030578414311897785,0.00031215264720964975,0.00031215264720964975,0.00031215264720964975
NG,0.02138640825041222,0.014431322856125545,0.021543041681081468,0.021348282699724892,0.021526740829319425,0.021526740829319425,0.021526740829319425
NI,0.0004021653673016802,0.00046828629385590326,0.0004780699410954821,0.00046748328378121883,0.00046513864868589366,0.00046513864868589366,0.00046513864868589366
NL,0.005095912924138343,0.00465483177152997,0.004290481897501885,0.004235131479272074,0.004123919186955671,0.004123919186955671,0.004123919186955671
NO,0.001647401475158771,0.0015397196353326707,0.0013664160643911713,0.001330075759081947,0.0013366589807458586,0.0013366589807458586,0.0013366589807458586
NP,0.0015577256556781566,0.0016226437406052065,0.0025242195047041546,0.002478180644864667,0.002480783041550132,0.002480783041550132,0.002480783041550132
NR,2.2093342310190806e-06,2.1302523477960934e-06,1.9722789879447817e-06,1.8791028990293914e-06,1.8289490615304654e-06,1.8289490615304654e-06,1.8289490615304654e-06
NZ,0.0013297197147233116,0.0012552381575051655,0.001169877614958168,0.0011407992862693696,0.0011388085959329614,0.0011388085959329614,0.0011388085959329614
OM,0.0010290814129407953,0.0010405914037749531,0.00100542016632761,0.0010049217516999583,0.0011725055461418855,0.0011725055461418855,0.0011725055461418855
PK,0.00915670074096005,0.007624406930891996,0.008665066269494313,0.008541283929340324,0.009428810724992197,0.009428810724992197,0.009428810724992197
PA,0.0006664503991517821,0.0006590539418910229,0.000638601183096262,0.0006271958850226586,0.000689108305709567,0.000689108305709567,0.000689108305709567
PE,0.0040825331985923355,0.004250401286456756,0.004117460440765225,0.004361460157688631,0.004970812966521301,0.004970812966521301,0.004970812966521301
PH,0.01205623057907326,0.017393248489283926,0.01697327319243454,0.016620788884725044,0.011864271080469847,0.011864271080469847,0.011864271080469847
PW,,,,,,,
PG,0.00021006605844981182,0.00024010371644993774,0.00025417226319939207,0.0002503382016454069,0.00025089281176691726,0.00025089281176691726,0.00025089281176691726
PL,0.008471203873572558,0.008414140816207807,0.007754226290991255,0.007641268554807164,0.008184717411782809,0.008184717411782809,0.008184717411782809
PR,0.0007229851871243282,0.0007069548852988473,0.0006308604637363225,0.0005850245208605655,0.0005772895245882242,0.0005772895245882242,0.0005772895245882242
KP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.00233151680701173,0.0021983020044296685,0.0020425230724084188,0.001992432307614231,0.00197342164804995,0.00197342164804995,0.00197342164804995
PY,0.0010906940189705156,0.0010942788996764579,0.001127074585586805,0.0011731921624372286,0.0012310403613429658,0.0012310403613429658,0.0012310403613429658
PS,0.0008041911566374403,0.000807700068504643,0.0007805285952340492,0.0007635729180732789,0.0008439044061550458,0.0008439044061550458,0.0008439044061550458
PF,5.782981975606092e-05,5.6811151632799e-05,5.3943777794899744e-05,5.2388500322337834e-05,5.178691268737368e-05,5.178691268737368e-05,5.178691268737368e-05
QA,0.0007815905945499889,0.0007633355284433478,0.0007130895234636116,0.0007193353898573421,0.0007197880320269701,0.0007197880320269701,0.0007197880320269701
RO,0.0036239514683063883,0.0035442342892099523,0.003355433781892861,0.003571597140528436,0.003636272198560964,0.003636272198560964,0.003636272198560964
RU,0.03312833984696329,0.03189482710044267,0.029514161523995386,0.030317647682888568,0.03042993693226736,0.03042993693226736,0.03042993693226736
RW,0.0006711577217150656,0.0007055323365350918,0.0007008318926710295,0.0006948952440200814,0.0007010041693582877,0.0007010041693582877,0.0007010041693582877
SA,0.0072416687642446655,0.007344075190151621,0.0073042943573945205,0.008160046415636913,0.008366254193678771,0.008366254193678771,0.008366254193678771
SD,0.00339511521539823,0.0016985549436918138,0.003385759512142942,0.0033486386140905568,0.003370780843538891,0.003370780843538891,0.003370780843538891
SN,0.0012909293989662603,0.001163326927865635,0.001906063195305682,0.0018925256260768242,0.001911877843687024,0.001911877843687024,0.001911877843687024
SG,0.0014343113698558633,0.0014316076781468426,0.0012736404618655548,0.0012900648129194896,0.001293900338701695,0.001293900338701695,0.001293900338701695
SB,1.9781130664379174e-05,2.060086335633873e-05,2.038096950533108e-05,2.0201480737565613e-05,2.037046297624703e-05,2.037046297624703e-05,2.037046297624703e-05
SL,0.00014922930146667223,0.0002608493178836455,0.00018111143270189742,0.0001786684661203429,0.00017934277136934668,0.00017934277136934668,0.00017934277136934668
SV,0.0005559978041613291,0.0005571963813955692,0.0005805883512251205,0.0005635119996665725,0.0005566639092441462,0.0005566639092441462,0.0005566639092441462
SM,5.412372655399028e-06,5.023870061227611e-06,5.4454944559212945e-06,5.276281115648984e-06,5.19717483624084e-06,5.19717483624084e-06,5.19717483624084e-06
SO,7.963991107003521e-05,8.06243114252722e-05,7.856880426895147e-05,7.804966654652983e-05,7.893127979795044e-05,7.893127979795044e-05,7.893127979795044e-05
RS,0.0015199495737584538,0.0014308837558182923,0.0013269307883553186,0.0013292788700790667,0.001371252696642781,0.001371252696642781,0.001371252696642781
ST,1.6887998817472903e-05,1.7202814219899903e-05,1.6656881039308127e-05,1.6390772924707755e-05,1.64167537796507e-05,1.64167537796507e-05,1.64167537796507e-05
SR,7.841891919252325e-05,7.75308275345302e-05,7.503761841039797e-05,7.31573576289613e-05,7.257199930290551e-05,7.257199930290551e-05,7.257199930290551e-05
SK,0.0013809779151499983,0.0013212638517864043,0.0011931004956316025,0.0011400769658476773,0.0011525093195951827,0.0011525093195951827,0.0011525093195951827
SI,0.0004947066614844041,0.0004713323773261483,0.00043804731972931713,0.0004291928404335324,0.0004425636862203424,0.0004425636862203424,0.0004425636862203424
SE,0.0029120189547668534,0.0026894373191543044,0.002581430369334175,0.002432960142962146,0.0024787714863159314,0.0024787714863159314,0.0024787714863159314
SZ,9.285008841313262e-05,9.62282207263165e-05,0.00014205860393171204,0.00013857485236270638,0.0001376260086467114,0.0001376260086467114,0.0001376260086467114
SC,1.662412934542896e-05,1.6175807737966225e-05,1.5136558237775892e-05,1.4756870663061557e-05,1.4632780286288043e-05,1.4632780286288043e-05,1.4632780286288043e-05
SY,0.0017695620703203538,0.0016816281890600722,0.0015710821538299188,0.001502751058162939,0.0014912561024762719,0.0014912561024762719,0.0014912561024762719
TC,,,,,,,
TD,0.00016197656105090277,0.0002201106880924787,0.00026230254036496215,0.0002610696783367138,0.0002643629356360643,0.0002643629356360643,0.0002643629356360643
TG,0.00017100369921733237,0.00025677919192182284,0.0002557070642268403,0.00025303922613607996,0.0002547860249174451,0.0002547860249174451,0.0002547860249174451
TH,0.008860250459958008,0.009905308157406858,0.009837158083452716,0.010236589196344603,0.011835761969649859,0.011835761969649859,0.011835761969649859
TJ,0.0005262438062621151,0.0005361363387697086,0.0005240478368601679,0.000518619561484786,0.0005220441992512299,0.0005220441992512299,0.0005220441992512299
TM,0.0002737242488905867,0.0003079618110648619,0.00032880513382671744,0.00032265460096034504,0.00032205505155338766,0.00032205505155338766,0.00032205505155338766
TL,9.0239311307714e-05,9.305985673781778e-05,9.185276363173512e-05,9.046118619351369e-05,9.0670806346898e-05,9.0670806346898e-05,9.0670806346898e-05
TO,1.2775263785803287e-05,1.2214332426568816e-05,1.1306142271620921e-05,1.1046191293622026e-05,1.0992923658207556e-05,1.0992923658207556e-05,1.0992923658207556e-05
TT,0.0003109913571637166,0.00030525125176800286,0.0002876055840266541,0.00027888924063269513,0.0002751081779667119,0.0002751081779667119,0.0002751081779667119
TN,0.0017049823309489506,0.0016950082343342172,0.001972251719936308,0.001926465819121683,0.001989423377457464,0.001989423377457464,0.001989423377457464
TR,0.013841957250252963,0.014080073000820113,0.014097574779398502,0.015176065677124661,0.015740799445383525,0.015740799445383525,0.015740799445383525
